"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C3,C2";"C_2816_7142Metric_Pad3.20x4.45mm_HandSolder";2;"100uF";;;
2;"UART1";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
3;"J2";"Jack_3.5mm_PJ320E_Horizontal";1;"SCT-013";;;
4;"J1";"BarrelJack_Horizontal";1;"DC_IN";;;
5;"R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"160R";;;
6;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
7;"U2";"ESP-12E_SMD";1;"ESP-12F";;;
8;"U1";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
9;"R7,R6,R5,R4,R3,R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"10K";;;
10;"C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10uF";;;
